Drug,minimol_solubility_log_mol_L
*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC,-2.039966106414795
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,-4.176936626434326
Br.C/C(=N/NC1=NCCN1)c1cn(C2=NCCN2)nc1C,-1.8803436756134033
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,-5.824851989746094
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,-1.5058972835540771
Br.CC(NC1=NCCCCC1)c1ccccc1,-2.0776333808898926
Br.CC1(C(=O)CSc2nc3ccccc3s2)CCC(=O)O1,-3.615576982498169
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,-2.95133113861084
Br.CCCCCCN1Cc2ccccc2C1,-3.093742609024048
Br.CCCCN1C2=NCCCN2c2ccccc21,-3.030273199081421
Br.CCCCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,-1.2832951545715332
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,-5.90992546081543
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,-2.348053216934204
Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,-2.9913363456726074
Br.COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,0.35607314109802246
Br.COCC(C)NCc1cccc(C)c1,-1.0318841934204102
Br.COCCCN1Cc2ccccc2C1=N,-0.3747375011444092
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,-4.844698905944824
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,-3.4521360397338867
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,-5.679631233215332
Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,-1.9568116664886475
Br.C[N+](C)(C)CCCCCNCC12CC3CC(CC(C3)C1)C2.[Br-],-1.793915033340454
Br.C[N+]1([O-])[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,0.15594196319580078
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,-2.7925503253936768
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,-1.6421797275543213
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(Cl)cc1,-1.0520014762878418
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(F)cc1,-1.2176001071929932
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,-2.5724844932556152
Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,-3.052809476852417
Br.NCCC1([N+](=O)[O-])CCNCC1,0.8920605182647705
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,-3.9354958534240723
Br/C=C/Br,-3.0703415870666504
BrC(Br)Br,-3.878580093383789
BrC(Br)C(Br)(Br)Br,-5.2149553298950195
BrC(Br)C(Br)Br,-4.465443134307861
BrC(c1cccc2ccccc12)c1cccc2ccccc12,-6.846852779388428
BrC/C=C\CBr,-2.5998122692108154
BrCBr,-2.6884684562683105
BrCC(Br)(Br)Br,-4.18843412399292
BrCC(Br)C1CCC(Br)C(Br)C1,-4.449796676635742
BrCC(Br)CBr,-3.332310199737549
BrCC(Br)c1ccccc1,-4.90869140625
BrCC1CO1,-0.29755663871765137
BrCCBr,-1.9502465724945068
BrCCC(Br)Br,-3.3807296752929688
BrCCCBr,-2.178133964538574
BrCCCCBr,-3.412663459777832
BrCCCCCBr,-3.5471713542938232
BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1,-4.442529678344727
BrC[C@H]1CO1,-0.29755663871765137
BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,-7.258986473083496
BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,-6.897655487060547
BrCc1c2ccccc2cc2c1ccc1ccccc12,-7.31834602355957
BrCc1c2ccccc2cc2ccc3ccccc3c12,-7.6288299560546875
BrCc1c2ccccc2cc2ccccc12,-6.655823230743408
BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,-6.666168212890625
BrCc1ccc(Br)cc1,-4.7052388191223145
BrCc1ccc(CBr)cc1,-5.204992771148682
BrCc1ccc2c(c1)-c1cccc3cccc-2c13,-6.907522201538086
BrCc1ccc2c3c(cccc13)-c1ccccc1-2,-6.643048286437988
BrCc1ccc2cccc3c2c1-c1ccccc1-3,-6.293587684631348
BrCc1cccc(CBr)c1,-4.6855597496032715
BrCc1cccc2c1-c1cccc3cccc-2c13,-6.371826171875
BrCc1ccccc1,-3.1408889293670654
BrCc1ccccc1CBr,-4.535466194152832
Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,-5.439282417297363
Brc1[nH]nc2ccccc12,-2.0594780445098877
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-8.207741737365723
Brc1c(NC2=NCCN2)ccc2nccnc12,-2.283487558364868
Brc1c(NC2=NCCN2)ccc2nccnc12.O=C(O)[C@H](O)[C@@H](O)C(=O)O,-1.3795342445373535
Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,-2.3630623817443848
Brc1c2ccccc2cc2c1ccc1ccccc12,-9.366216659545898
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,-8.507471084594727
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,-9.234955787658691
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,-7.9345550537109375
Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2,-6.017000198364258
Brc1ccc(-c2ccccc2)cc1,-4.848755836486816
Brc1ccc(-c2csc(N3CCC(c4ccccc4)C3)n2)cc1,-6.414802074432373
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1,-7.336786270141602
Brc1ccc(-c2nnc(-c3cccc(Br)c3)o2)cc1,-7.656329154968262
Brc1ccc(-c2nnc(-c3ccccc3)c(N3CCSCC3)n2)cc1,-4.417603492736816
Brc1ccc(/C=C/C=N/Nc2nc3ccccc3s2)cc1,-6.925699234008789
Brc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1,-6.510024070739746
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,-4.866718292236328
Brc1ccc(N=C/C=C/C=C/Nc2ccc(Br)cc2)cc1.Cl,-4.979428291320801
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-7.790319442749023
Brc1ccc([C@H]2CN3CCSC3=N2)cc1,-3.0589959621429443
Brc1ccc2[nH]c3c(c2c1)CCCC3Nc1ccccc1,-4.945759296417236
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,-3.079317092895508
Brc1ccc2c(c1)C1OC1C1CCCCC21,-2.971384048461914
Brc1ccc2c(c1)C=CC1CCCCC21,-4.599366188049316
Brc1ccc2cccnc2c1,-2.329716205596924
Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,-5.545502185821533
Brc1cccc(-c2ccccc2)c1,-4.549708366394043
Brc1cccc2cc3c(ccc4ccccc43)cc12,-8.933248519897461
Brc1cccc2nc(C#Cc3ccccn3)ccc12,-5.582849025726318
Brc1ccccc1,-2.964877128601074
Brc1ccccc1-c1ccccc1,-4.463046550750732
Brc1ccccc1OCCOCCOc1cccc2cccnc12,-6.03528356552124
Brc1cccnc1,-1.3197118043899536
Brc1ccnc2ncccc12,-2.5521082878112793
Brc1cn[nH]c1,-1.4465868473052979
Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1,-2.873488426208496
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,-2.1919236183166504
Brc1cncnc1,-1.3461828231811523
Brc1cnoc1,-1.6112364530563354
C#CC(C)(O)CC,-0.37342309951782227
C#CC(O)(/C=C/Cl)CC,-1.1612911224365234
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccc(C)c(C)c1,-5.670533657073975
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,-5.328857421875
C#CC(OC(N)=O)c1ccccc1,-2.314703941345215
C#CC1(O)CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1,-3.443305730819702
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,-4.335631370544434
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,-4.069391250610352
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.608521461486816
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.170398235321045
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,-4.903855323791504
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.688360214233398
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,-5.372830390930176
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-5.088030815124512
C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,-4.4257097244262695
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.068159103393555
C#CC1(OC(N)=O)CCCCC1,-2.154050350189209
C#CC1(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,-3.3834228515625
C#CCBr,-1.448207139968872
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,-2.6219515800476074
C#CCC1(OC(N)=O)CCCCC1,-2.782353639602661
C#CCCCC(=O)Nc1ccccc1,-3.298337459564209
C#CCCCC(=S)Nc1ccccc1,-4.783480644226074
C#CCCCCCCCCCCCCCCCC(=O)O,-6.104347229003906
C#CCCCCCCCCCNC(=O)Oc1cccc(-n2ccc(C(N)=O)c2)c1,-4.916632652282715
